Index,Country,Country code,Type,Parent code,"1,950.00","1,951.00","1,952.00",1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
174,Sint Maarten (Dutch part),534,Country/Area,915,1.49,1.66,1.80,1.91,2.01,2.11,2.21,2.32,2.46,2.62,2.83,3.08,3.37,3.70,4.06,4.46,4.90,5.36,5.86,6.35,6.85,7.37,7.89,8.43,8.98,9.56,10.15,10.79,11.48,12.24,13.10,14.03,15.03,16.18,17.52,19.13,21.03,23.16,25.33,27.28,28.81,29.85,30.46,30.77,30.95,31.16,31.43,31.73,32.04,32.32,32.56,32.78,32.99,33.20,33.34,33.44,33.45,33.41,33.42,33.65,34.17,35.05,36.24,37.58,38.87,39.97,40.81,41.44,41.94,42.39,42.88
175,Trinidad and Tobago,780,Country/Area,915,645.63,658.75,675.58,695.25,716.88,739.70,762.98,786.02,808.22,829.03,847.97,864.81,879.44,891.95,902.62,911.74,919.22,925.23,930.79,937.18,945.36,955.75,968.14,982.01,996.48,"1,010.93","1,025.10","1,039.21","1,053.56","1,068.64","1,084.74","1,101.98","1,120.02","1,138.07","1,155.08","1,170.30","1,183.38","1,194.53","1,204.15","1,212.86","1,221.12","1,229.11","1,236.69","1,243.61","1,249.53","1,254.20","1,257.55","1,259.84","1,261.70","1,263.93","1,267.16","1,271.63","1,277.21","1,283.56","1,290.12","1,296.50","1,302.55","1,308.45","1,314.45","1,320.92","1,328.14","1,336.18","1,344.81","1,353.71","1,362.34","1,370.33","1,377.56","1,384.06","1,389.84","1,394.97","1,399.49"
176,Turks and Caicos Islands,796,Country/Area,915,5.04,5.00,4.98,5.04,5.13,5.25,5.38,5.50,5.64,5.75,5.83,5.87,5.88,5.87,5.85,5.81,5.78,5.77,5.75,5.77,5.84,5.97,6.16,6.38,6.61,6.83,7.02,7.19,7.38,7.61,7.89,8.24,8.65,9.10,9.56,9.97,10.37,10.72,11.09,11.55,12.12,12.82,13.64,14.53,15.40,16.22,16.93,17.57,18.23,19.07,20.17,21.58,23.23,25.01,26.71,28.18,29.39,30.38,31.20,31.93,32.66,33.37,34.07,34.73,35.37,35.98,36.56,37.12,37.67,38.19,38.72
177,United States Virgin Islands,850,Country/Area,915,26.79,27.37,28.12,28.81,29.35,29.67,29.86,30.06,30.49,31.43,33.14,35.72,39.07,42.89,46.73,50.23,53.25,55.92,58.47,61.32,64.72,68.77,73.28,77.98,82.48,86.47,89.85,92.69,95.07,97.17,99.09,100.87,102.47,103.82,104.78,105.28,105.29,104.89,104.32,103.86,103.76,104.09,104.80,105.73,106.64,107.39,107.94,108.31,108.55,108.68,108.73,108.69,108.56,108.35,108.10,107.80,107.47,107.12,106.75,106.42,106.09,105.79,105.52,105.30,105.11,104.95,104.83,104.75,104.67,104.58,104.42
178,Central America,916,Subregion,1830,"37,975.50","39,045.30","40,166.16","41,340.99","42,571.71","43,859.27","45,203.61","46,603.67","48,057.49","49,562.57","51,116.56","52,717.97","54,367.02","56,065.67","57,817.05","59,622.90","61,481.92","63,391.20","65,348.98","67,353.07","69,400.46","71,490.34","73,618.75","75,775.81","77,949.04","80,129.06","82,310.23","84,492.59","86,679.77","88,878.31","91,092.36","93,322.66","95,565.09","97,813.45","100,059.30","102,296.70","104,521.76","106,736.06","108,945.63","111,159.57","113,383.70","115,620.58","117,866.00","120,111.04","122,343.22","124,553.73","126,742.36","128,912.73","131,065.09","133,200.65","135,322.35","137,426.16","139,516.85","141,616.55","143,754.57","145,950.55","148,213.06","150,532.55","152,888.00","155,248.74","157,591.31","159,908.33","162,202.71","164,473.31","166,721.88","168,949.16","171,152.17","173,326.78","175,471.78","177,586.53","179,670.19"
179,Belize,84,Country/Area,916,68.92,71.24,73.43,75.55,77.69,79.87,82.13,84.51,86.95,89.49,92.07,94.70,97.39,100.17,103.07,106.12,109.35,112.71,116.07,119.27,122.18,124.80,127.15,129.29,131.31,133.26,135.14,136.99,138.98,141.30,144.14,147.57,151.49,155.82,160.34,164.92,169.57,174.33,179.02,183.47,187.55,191.14,194.32,197.63,201.68,206.96,213.66,221.58,230.25,238.98,247.31,255.07,262.39,269.43,276.52,283.80,291.34,299.03,306.82,314.66,322.47,330.24,338.00,345.71,353.37,360.93,368.40,375.78,383.07,390.35,397.62
180,Costa Rica,188,Country/Area,916,945.68,972.15,"1,002.44","1,035.86","1,071.88","1,110.09","1,150.27","1,192.36","1,236.39","1,282.50","1,330.79","1,381.19","1,433.35","1,486.56","1,539.94","1,592.83","1,645.08","1,696.74","1,747.69","1,797.89","1,847.39","1,896.07","1,944.17","1,992.52","2,042.24","2,094.19","2,148.68","2,205.62","2,264.94","2,326.46","2,389.97","2,455.59","2,523.36","2,593.02","2,664.22","2,736.72","2,810.25","2,884.86","2,960.93","3,039.02","3,119.44","3,202.08","3,286.53","3,372.30","3,458.83","3,545.52","3,632.36","3,718.95","3,803.89","3,885.43","3,962.37","4,034.07","4,100.92","4,164.05","4,225.16","4,285.50","4,345.42","4,404.63","4,463.12","4,520.74","4,577.37","4,633.09","4,688.00","4,742.11","4,795.39","4,847.81","4,899.34","4,949.96","4,999.44","5,047.56","5,094.11"
181,El Salvador,222,Country/Area,916,"2,199.90","2,237.78","2,280.44","2,327.37","2,378.24","2,432.88","2,491.25","2,553.51","2,619.90","2,690.75","2,766.32","2,846.60","2,931.19","3,019.22","3,109.57","3,201.31","3,293.95","3,387.38","3,481.62","3,576.83","3,673.07","3,770.06","3,867.31","3,964.27","4,060.26","4,154.69","4,247.51","4,338.45","4,426.68","4,511.13","4,591.14","4,666.36","4,737.26","4,804.94","4,871.04","4,936.80","5,002.34","5,067.53","5,133.27","5,200.61","5,270.07","5,342.19","5,416.33","5,490.48","5,561.92","5,628.60","5,689.94","5,746.29","5,797.76","5,844.83","5,887.93","5,927.00","5,962.14","5,994.08","6,023.80","6,052.12","6,079.40","6,105.81","6,131.77","6,157.68","6,183.88","6,210.57","6,237.92","6,266.08","6,295.12","6,325.12","6,356.14","6,388.12","6,420.74","6,453.55","6,486.20"
182,Guatemala,320,Country/Area,916,"3,114.96","3,212.33","3,311.53","3,413.16","3,517.65","3,625.31","3,736.23","3,850.44","3,967.74","4,087.92","4,210.75","4,336.13","4,464.25","4,595.51","4,730.53","4,869.71","5,013.17","5,160.62","5,311.61","5,465.52","5,621.79","5,780.48","5,941.57","6,104.53","6,268.71","6,433.72","6,599.21","6,765.52","6,933.91","7,106.14","7,283.46","7,466.48","7,654.82","7,847.47","8,042.90","8,240.06","8,438.60","8,639.11","8,842.57","9,050.46","9,263.82","9,483.27","9,708.55","9,938.70","10,172.30","10,408.49","10,646.68","10,887.64","11,133.50","11,387.21","11,650.74","11,924.94","12,208.85","12,500.48","12,796.93","13,096.03","13,397.02","13,700.33","14,006.42","14,316.25","14,630.42","14,948.79","15,270.77","15,595.82","15,923.24","16,252.43","16,583.08","16,914.98","17,247.86","17,581.48","17,915.57"
183,Honduras,340,Country/Area,916,"1,546.72","1,588.56","1,631.73","1,676.51","1,723.01","1,771.36","1,821.54","1,873.49","1,927.10","1,982.19","2,038.64","2,096.41","2,155.65","2,216.71","2,280.04","2,346.01","2,414.81","2,486.42","2,560.72","2,637.52","2,716.65","2,798.13","2,882.10","2,968.98","3,059.25","3,153.25","3,251.15","3,352.83","3,458.10","3,566.66","3,678.27","3,792.92","3,910.64","4,031.33","4,154.86","4,281.17","4,410.27","4,542.22","4,677.02","4,814.70","4,955.30","5,098.59","5,244.68","5,394.42","5,548.97","5,709.01","5,874.81","6,045.70","6,220.41","6,397.14","6,574.51","6,751.91","6,929.27","7,106.32","7,282.95","7,458.98","7,634.30","7,808.52","7,980.96","8,150.78","8,317.47","8,480.67","8,640.69","8,798.52","8,955.58","9,112.90","9,270.79","9,429.02","9,587.52","9,746.12","9,904.61"
