Index,Country,Country code,Type,Parent code,"1,950.00","1,951.00","1,952.00",1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,WORLD,900,World,0,"2,536,431.02","2,584,034.23","2,630,861.69","2,677,609.06","2,724,846.75","2,773,019.92","2,822,443.25","2,873,306.06","2,925,686.68","2,979,576.15","3,034,949.72","3,091,843.51","3,150,420.76","3,211,000.95","3,273,978.27","3,339,583.51","3,407,922.63","3,478,770.10","3,551,599.44","3,625,680.97","3,700,437.04","3,775,760.03","3,851,650.59","3,927,780.52","4,003,794.18","4,079,480.47","4,154,666.83","4,229,505.92","4,304,533.60","4,380,506.19","4,458,003.47","4,536,996.62","4,617,386.53","4,699,569.19","4,784,011.52","4,870,921.67","4,960,568.00","5,052,522.00","5,145,425.99","5,237,441.43","5,327,231.04","5,414,289.38","5,498,919.89","5,581,597.60","5,663,150.43","5,744,212.93","5,824,891.93","5,905,045.65","5,984,794.08","6,064,239.03","6,143,493.81","6,222,626.53","6,301,773.17","6,381,185.14","6,461,159.39","6,541,906.96","6,623,517.92","6,705,946.64","6,789,088.67","6,872,766.99","6,956,823.59","7,041,194.17","7,125,827.96","7,210,582.04","7,295,290.76","7,379,796.97","7,464,021.93","7,547,858.90","7,631,091.11","7,713,468.21","7,794,798.73"
2,UN development groups,1803,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
3,More developed regions,901,Development Group,1803,"814,818.91","824,003.51","833,720.17","843,787.54","854,060.46","864,429.51","874,823.54","885,207.01","895,575.90","905,949.17","916,344.41","926,751.85","937,111.48","947,303.40","957,175.40","966,624.19","975,584.91","984,097.41","992,293.27","1,000,365.65","1,008,451.91","1,016,600.69","1,024,762.96","1,032,860.71","1,040,773.52","1,048,416.23","1,055,773.87","1,062,884.62","1,069,781.20","1,076,514.38","1,083,125.60","1,089,607.26","1,095,957.01","1,102,226.77","1,108,482.39","1,114,763.00","1,121,097.64","1,127,452.52","1,133,726.57","1,139,778.90","1,145,507.68","1,150,893.43","1,155,966.40","1,160,737.00","1,165,231.55","1,169,481.47","1,173,489.82","1,177,284.07","1,180,954.36","1,184,615.56","1,188,359.41","1,192,204.36","1,196,155.66","1,200,271.25","1,204,613.39","1,209,215.04","1,214,107.11","1,219,250.49","1,224,518.30","1,229,735.18","1,234,767.52","1,239,557.45","1,244,114.53","1,248,453.53","1,252,615.11","1,256,622.19","1,260,478.67","1,264,146.38","1,267,558.90","1,270,630.32","1,273,304.26"
4,Less developed regions,902,Development Group,1803,"1,721,612.11","1,760,030.72","1,797,141.52","1,833,821.52","1,870,786.30","1,908,590.40","1,947,619.71","1,988,099.05","2,030,110.78","2,073,626.98","2,118,605.30","2,165,091.66","2,213,309.28","2,263,697.55","2,316,802.87","2,372,959.32","2,432,337.72","2,494,672.70","2,559,306.17","2,625,315.32","2,691,985.13","2,759,159.34","2,826,887.63","2,894,919.81","2,963,020.66","3,031,064.25","3,098,892.96","3,166,621.30","3,234,752.40","3,303,991.81","3,374,877.87","3,447,389.36","3,521,429.51","3,597,342.42","3,675,529.13","3,756,158.66","3,839,470.36","3,925,069.48","4,011,699.43","4,097,662.53","4,181,723.36","4,263,395.95","4,342,953.49","4,420,860.60","4,497,918.88","4,574,731.46","4,651,402.11","4,727,761.58","4,803,839.72","4,879,623.47","4,955,134.40","5,030,422.17","5,105,617.52","5,180,913.89","5,256,546.00","5,332,691.92","5,409,410.80","5,486,696.16","5,564,570.37","5,643,031.81","5,722,056.07","5,801,636.72","5,881,713.43","5,962,128.51","6,042,675.65","6,123,174.78","6,203,543.27","6,283,712.52","6,363,532.21","6,442,837.89","6,521,494.47"
5,Least developed countries,941,Development Group,902,"195,427.79","199,180.39","203,015.20","206,985.64","211,133.08","215,486.29","220,061.42","224,862.26","229,882.00","235,105.73","240,518.40","246,113.62","251,900.66","257,908.04","264,174.08","270,720.94","277,573.10","284,708.61","292,046.00","299,473.69","306,916.90","314,345.05","321,797.95","329,357.73","337,142.88","345,242.74","353,691.45","362,475.16","371,577.36","380,963.36","390,612.54","400,528.97","410,740.62","421,279.18","432,185.31","443,491.30","455,193.68","467,290.49","479,814.03","492,803.04","506,275.63","520,262.44","534,731.00","549,559.28","564,581.12","579,681.70","594,801.27","609,983.28","625,342.13","641,046.83","657,215.85","673,903.09","691,061.43","708,587.94","726,331.17","744,190.51","762,132.50","780,219.57","798,563.43","817,322.62","836,614.84","856,471.44","876,867.23","897,793.44","919,222.96","941,131.32","963,519.72","986,385.40","1,009,691.25","1,033,388.87","1,057,438.16"
6,"Less developed regions, excluding least developed countries",934,Development Group,902,"1,526,184.32","1,560,850.33","1,594,126.32","1,626,835.88","1,659,653.21","1,693,104.11","1,727,558.29","1,763,236.79","1,800,228.78","1,838,521.25","1,878,086.91","1,918,978.04","1,961,408.63","2,005,789.51","2,052,628.80","2,102,238.38","2,154,764.62","2,209,964.09","2,267,260.17","2,325,841.62","2,385,068.23","2,444,814.29","2,505,089.68","2,565,562.08","2,625,877.78","2,685,821.51","2,745,201.51","2,804,146.14","2,863,175.04","2,923,028.45","2,984,265.32","3,046,860.39","3,110,688.89","3,176,063.25","3,243,343.82","3,312,667.37","3,384,276.68","3,457,778.99","3,531,885.40","3,604,859.49","3,675,447.74","3,743,133.52","3,808,222.49","3,871,301.33","3,933,337.76","3,995,049.75","4,056,600.84","4,117,778.29","4,178,497.59","4,238,576.64","4,297,918.55","4,356,519.08","4,414,556.08","4,472,325.95","4,530,214.83","4,588,501.41","4,647,278.30","4,706,476.58","4,766,006.95","4,825,709.19","4,885,441.23","4,945,165.28","5,004,846.19","5,064,335.07","5,123,452.69","5,182,043.46","5,240,023.55","5,297,327.12","5,353,840.96","5,409,449.02","5,464,056.31"
7,"Less developed regions, excluding China",948,Development Group,1803,"1,157,420.01","1,179,932.72","1,203,962.86","1,229,440.19","1,256,302.72","1,284,496.76","1,313,976.62","1,344,705.09","1,376,652.12","1,409,793.64","1,444,107.26","1,479,568.16","1,516,144.76","1,553,797.45","1,592,482.97","1,632,168.75","1,672,841.76","1,714,499.92","1,757,138.52","1,800,757.60","1,845,364.17","1,890,969.13","1,937,592.56","1,985,264.48","2,034,022.58","2,083,907.84","2,134,887.40","2,186,987.57","2,240,373.27","2,295,259.34","2,351,776.35","2,409,960.36","2,469,693.82","2,530,756.16","2,592,840.95","2,655,695.39","2,719,227.05","2,783,394.37","2,848,054.68","2,913,059.66","2,978,289.41","3,043,665.94","3,109,147.05","3,174,700.31","3,240,314.00","3,305,985.14","3,371,697.98","3,437,455.98","3,503,309.24","3,569,329.16","3,635,583.00","3,702,081.00","3,768,852.38","3,836,005.74","3,903,674.97","3,971,957.38","4,040,882.43","4,110,430.52","4,180,584.76","4,251,306.81","4,322,553.37","4,394,312.90","4,466,549.24","4,539,157.45","4,612,004.83","4,684,981.35","4,758,019.35","4,831,087.29","4,904,154.60","4,977,203.71","5,050,207.59"
8,Land-locked Developing Countries (LLDC),1636,Special other,1803,"103,803.46","105,870.28","108,079.45","110,422.98","112,894.29","115,488.18","118,201.00","121,030.35","123,975.28","127,035.50","130,210.23","133,497.25","136,891.36","140,384.28","143,965.75","147,627.74","151,360.24","155,160.83","159,036.62","162,999.63","167,054.85","171,216.12","175,471.52","179,770.32","184,044.36","188,250.85","192,374.93","196,449.66","200,540.07","204,737.16","209,112.91","213,677.20","218,427.92","223,408.83","228,668.60","234,235.22","240,137.15","246,350.67","252,785.90","259,316.87","265,852.00","272,365.93","278,882.18","285,419.54","292,014.30","298,698.48","305,470.57","312,333.92","319,332.73","326,523.08","333,947.03","341,630.36","349,570.84","357,748.06","366,126.84","374,684.86","383,416.64","392,342.49","401,496.61","410,925.25","420,661.37","430,709.34","441,057.03","451,698.91","462,623.55","473,816.86","485,276.86","496,988.25","508,906.04","520,972.69","533,143.40"
9,Small Island Developing States (SIDS),1637,Special other,1803,"23,771.12","24,209.07","24,684.57","25,187.41","25,710.39","26,248.78","26,800.68","27,366.95","27,950.62","28,556.33","29,188.02","29,846.56","30,527.70","31,221.32","31,913.90","32,595.49","33,261.21","33,913.41","34,558.78","35,207.91","35,868.05","36,542.23","37,226.95","37,914.76","38,594.83","39,260.21","39,907.81","40,542.25","41,172.75","41,812.56","42,471.24","43,152.23","43,853.05","44,570.24","45,297.83","46,031.70","46,770.06","47,514.40","48,266.85","49,030.67","49,807.71","50,597.74","51,398.05","52,203.20","53,006.51","53,802.26","54,591.59","55,374.39","56,144.07","56,891.88","57,613.59","58,302.16","58,963.24","59,620.69","60,307.20","61,044.55","61,843.01","62,691.34","63,564.90","64,427.57","65,253.14","66,034.53","66,778.72","67,490.68","68,180.36","68,855.52","69,514.96","70,157.52","70,791.84","71,428.83","72,076.10"
10,World Bank income groups,1802,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
11,High-income countries,1503,Income Group,1802,"694,989.11","703,003.78","711,533.76","720,435.91","729,595.89","738,928.61","748,379.09","757,921.34","767,554.30","777,294.98","787,158.23","797,134.75","807,172.37","817,167.61","826,989.22","836,545.33","845,778.99","854,716.25","863,451.96","872,128.52","880,845.62","889,638.93","898,464.75","907,248.70","915,880.23","924,282.55","932,435.63","940,374.54","948,144.31","955,812.42","963,431.38","971,015.17","978,558.90","986,073.42","993,567.07","1,001,046.88","1,008,519.17","1,015,990.18","1,023,466.64","1,030,954.20","1,038,455.42","1,045,985.78","1,053,543.16","1,061,090.05","1,068,574.91","1,075,966.45","1,083,259.35","1,090,483.93","1,097,691.06","1,104,949.88","1,112,318.33","1,119,775.82","1,127,324.22","1,135,066.24","1,143,132.40","1,151,594.88","1,160,503.45","1,169,770.61","1,179,159.90","1,188,348.07","1,197,095.04","1,205,302.58","1,213,008.51","1,220,275.43","1,227,222.99","1,233,934.65","1,240,426.31","1,246,648.46","1,252,546.33","1,258,043.48","1,263,092.93"
12,Middle-income countries,1517,Income Group,1802,"1,703,596.50","1,741,085.98","1,777,129.45","1,812,536.18","1,847,972.59","1,883,962.08","1,920,879.34","1,958,956.18","1,998,297.69","2,038,909.81","2,080,780.92","2,123,969.95","2,168,682.16","2,215,302.64","2,264,302.83","2,315,967.49","2,370,446.71","2,427,505.36","2,486,550.07","2,546,750.64","2,607,460.63","2,668,544.34","2,730,038.16","2,791,686.82","2,853,239.06","2,914,555.44","2,975,473.55","3,036,109.38","3,096,965.50","3,158,747.65","3,221,987.82","3,286,643.40","3,352,592.42","3,420,161.36","3,489,732.22","3,561,445.88","3,635,556.83","3,711,631.32","3,788,266.47","3,863,575.84","3,936,198.98","4,005,573.52","4,072,033.69","4,136,227.35","4,199,219.91","4,261,803.63","4,324,146.72","4,386,018.45","4,447,358.48","4,508,010.38","4,567,891.01","4,627,061.10","4,685,694.64","4,743,954.18","4,802,039.80","4,860,123.82","4,918,213.04","4,976,355.79","5,034,805.70","5,093,871.45","5,153,738.18","5,214,491.63","5,275,972.51","5,337,803.62","5,399,458.15","5,460,515.59","5,520,843.44","5,580,422.65","5,639,084.20","5,696,667.31","5,753,051.62"
13,Upper-middle-income countries,1502,Income Group,1517,"938,930.87","962,815.77","984,350.36","1,004,407.60","1,023,703.19","1,042,795.68","1,062,079.98","1,081,793.82","1,102,036.12","1,122,797.98","1,144,055.21","1,165,867.50","1,188,464.50","1,212,283.27","1,237,863.01","1,265,536.21","1,295,466.03","1,327,401.34","1,360,729.50","1,394,587.98","1,428,300.05","1,461,718.44","1,494,865.80","1,527,449.24","1,559,172.74","1,589,857.23","1,619,357.07","1,647,778.35","1,675,530.56","1,703,200.56","1,731,254.57","1,759,631.90","1,788,295.21","1,817,741.48","1,848,584.48","1,881,154.74","1,915,773.96","1,952,035.61","1,988,638.75","2,023,800.60","2,056,240.37","2,085,468.34","2,111,839.47","2,135,960.53","2,158,819.68","2,181,157.42","2,203,131.21","2,224,549.00","2,245,404.17","2,265,614.22","2,285,144.58","2,304,075.89","2,322,554.14","2,340,682.49","2,358,576.56","2,376,344.61","2,393,987.48","2,411,566.34","2,429,314.40","2,447,520.38","2,466,363.51","2,485,922.68","2,506,065.07","2,526,484.85","2,546,751.06","2,566,519.31","2,585,693.59","2,604,262.47","2,622,069.76","2,638,958.43","2,654,816.33"
14,Lower-middle-income countries,1501,Income Group,1517,"764,665.63","778,270.21","792,779.09","808,128.58","824,269.40","841,166.39","858,799.36","877,162.37","896,261.57","916,111.83","936,725.71","958,102.45","980,217.67","1,003,019.38","1,026,439.82","1,050,431.28","1,074,980.68","1,100,104.03","1,125,820.57","1,152,162.66","1,179,160.58","1,206,825.90","1,235,172.36","1,264,237.58","1,294,066.32","1,324,698.21","1,356,116.49","1,388,331.03","1,421,434.94","1,455,547.09","1,490,733.25","1,527,011.51","1,564,297.21","1,602,419.88","1,641,147.74","1,680,291.13","1,719,782.87","1,759,595.71","1,799,627.72","1,839,775.24","1,879,958.61","1,920,105.18","1,960,194.22","2,000,266.82","2,040,400.23","2,080,646.21","2,121,015.51","2,161,469.45","2,201,954.30","2,242,396.16","2,282,746.43","2,322,985.21","2,363,140.50","2,403,271.68","2,443,463.24","2,483,779.21","2,524,225.56","2,564,789.45","2,605,491.30","2,646,351.07","2,687,374.67","2,728,568.95","2,769,907.44","2,811,318.78","2,852,707.09","2,893,996.28","2,935,149.85","2,976,160.19","3,017,014.45","3,057,708.88","3,098,235.28"
15,Low-income countries,1500,Income Group,1802,"137,041.87","139,118.85","141,351.56","143,768.50","146,387.10","149,213.77","152,243.27","155,459.34","158,836.73","162,344.22","165,954.46","169,654.33","173,453.86","177,390.31","181,516.85","185,870.73","190,464.08","195,281.27","200,296.63","205,471.92","210,778.28","216,209.48","221,771.91","227,463.97","233,286.84","239,242.40","245,339.11","251,579.53","257,953.66","264,447.33","271,057.73","277,785.34","284,656.96","291,729.93","299,078.66","306,762.09","314,787.16","323,153.69","331,902.04","341,076.96","350,700.96","360,816.17","371,393.16","382,295.65","393,336.01","404,386.61","415,391.40","426,409.40","437,569.66","449,060.76","461,020.98","473,477.93","486,392.24","499,752.27","513,527.21","527,685.62","542,261.64","557,248.25","572,522.77","587,921.34","603,339.58","618,725.58","634,150.12","649,783.54","665,865.82","682,575.70","699,950.58","717,952.43","736,589.38","755,849.74","775,710.61"
16,No income group available,1518,Income Group,1802,803.55,825.62,846.92,868.47,891.18,915.47,941.56,969.20,997.96,"1,027.14","1,056.11","1,084.49","1,112.37","1,140.39","1,169.38","1,199.97","1,232.85","1,267.23","1,300.78","1,329.89","1,352.52","1,367.28","1,375.76","1,381.03","1,388.05","1,400.09","1,418.54","1,442.48","1,470.13","1,498.79","1,526.54","1,552.72","1,578.25","1,604.48","1,633.57","1,666.82","1,704.84","1,746.81","1,790.85","1,834.43","1,875.68","1,913.92","1,949.88","1,984.55","2,019.61","2,056.24","2,094.46","2,133.87","2,174.87","2,218.01","2,263.48","2,311.69","2,362.07","2,412.45","2,459.99","2,502.65","2,539.78","2,572.00","2,600.30","2,626.12","2,650.79","2,674.37","2,696.82","2,719.45","2,743.81","2,771.03","2,801.61","2,835.36","2,871.20","2,907.67","2,943.57"
17,Geographic regions,1840,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
18,Africa,903,Region,1840,"227,794.14","232,327.86","237,096.56","242,092.46","247,310.60","252,748.92","258,408.22","264,292.21","270,407.03","276,760.72","283,361.17","290,214.47","297,322.60","304,683.37","312,291.85","320,147.30","328,256.59","336,631.18","345,280.35","354,214.82","363,447.59","372,983.51","382,837.77","393,044.44","403,645.94","414,674.68","426,144.46","438,054.81","450,403.90","463,183.56","476,386.23","490,003.91","504,034.18","518,479.76","533,345.15","548,626.14","564,327.30","580,424.29","596,849.01","613,512.11","630,349.69","647,344.04","664,512.03","681,869.33","699,445.41","717,270.11","735,361.11","753,737.58","772,437.16","791,504.17","810,984.23","830,902.54","851,298.44","872,248.34","893,842.79","916,154.29","939,210.05","963,021.84","987,623.52","1,013,045.73","1,039,304.03","1,066,409.71","1,094,343.03","1,123,045.14","1,152,433.62","1,182,438.80","1,213,040.54","1,244,222.27","1,275,921.01","1,308,064.18","1,340,598.11"
19,Asia,935,Region,1840,"1,404,908.99","1,435,819.07","1,464,833.76","1,492,894.96","1,520,767.94","1,549,041.91","1,578,122.02","1,608,237.03","1,639,460.78","1,671,747.88","1,705,041.06","1,739,385.85","1,775,030.79","1,812,470.36","1,852,323.21","1,894,974.24","1,940,602.03","1,988,923.05","2,039,270.16","2,090,702.39","2,142,480.29","2,194,450.68","2,246,636.20","2,298,696.36","2,350,279.01","2,401,171.42","2,451,184.26","2,500,443.53","2,549,465.80","2,598,988.42","2,649,578.33","2,701,224.87","2,753,837.84","2,807,785.25","2,863,496.85","2,921,173.21","2,981,064.01","3,042,805.99","3,105,220.24","3,166,705.92","3,226,098.92","3,282,945.32","3,337,511.63","3,390,245.43","3,441,912.68","3,493,087.00","3,543,851.24","3,594,032.71","3,643,662.92","3,692,736.10","3,741,263.35","3,789,285.36","3,836,880.25","3,884,134.62","3,931,146.46","3,977,986.45","4,024,679.89","4,071,214.94","4,117,572.12","4,163,712.80","4,209,593.72","4,255,189.62","4,300,462.19","4,345,331.32","4,389,699.50","4,433,475.32","4,476,607.79","4,519,040.02","4,560,667.14","4,601,371.27","4,641,054.79"
20,Europe,908,Region,1840,"549,328.86","554,324.51","559,694.36","565,281.96","570,969.74","576,678.76","582,371.32","588,048.22","593,743.36","599,513.23","605,406.97","611,434.04","617,536.17","623,575.13","629,367.17","634,783.19","639,761.94","644,345.49","648,636.12","652,789.65","656,919.37","661,056.10","665,163.51","669,207.97","673,132.24","676,895.46","680,497.66","683,959.54","687,285.86","690,485.02","693,566.52","696,513.45","699,330.02","702,070.43","704,807.48","707,584.19","710,422.13","713,279.28","716,056.66","718,617.28","720,858.41","722,775.86","724,390.03","725,656.79","726,529.36","726,994.43","727,020.29","726,669.42","726,141.84","725,705.44","725,558.03","725,771.94","726,312.06","727,134.24","728,149.84","729,287.88","730,546.85","731,938.56","733,416.48","734,923.39","736,413.00","737,850.65","739,225.17","740,541.88","741,818.28","743,058.98","744,268.79","745,414.76","746,419.44","747,182.82","747,636.05"
21,Latin America and the Caribbean,904,Region,1840,"168,820.52","173,280.49","177,915.93","182,708.88","187,647.75","192,727.23","197,948.66","203,319.93","208,853.82","214,566.10","220,469.72","226,567.97","232,848.86","239,282.57","245,828.55","252,455.93","259,154.15","265,925.62","272,768.31","279,684.29","286,675.71","293,738.01","300,869.45","308,078.65","315,378.19","322,777.15","330,272.37","337,860.35","345,548.26","353,344.98","361,253.18","369,274.51","377,395.87","385,586.59","393,806.37","402,023.66","410,223.40","418,404.11","426,564.86","434,709.75","442,840.08","450,946.52","459,018.54","467,054.73","475,055.72","483,018.23","490,944.03","498,821.72","506,620.74","514,301.36","521,836.32","529,213.16","536,441.58","543,544.13","550,555.24","557,500.98","564,384.72","571,201.89","577,962.67","584,677.53","591,352.35","597,994.70","604,599.46","611,143.94","617,596.48","623,934.13","630,144.54","636,233.13","642,216.71","648,120.96","653,962.33"
22,Northern America,905,Region,1840,"172,602.61","175,016.59","177,778.50","180,813.19","184,051.53","187,430.41","190,892.80","194,387.68","197,870.18","201,301.49","204,649.17","207,887.20","210,996.18","213,963.48","216,782.88","219,454.16","221,966.41","224,327.31","226,580.62","228,786.68","230,991.86","233,213.54","235,449.57","237,703.02","239,970.84","242,251.50","244,552.72","246,882.30","249,237.76","251,613.70","254,007.13","256,418.90","258,854.00","261,318.32","263,819.45","266,363.43","268,958.51","271,606.62","274,300.34","277,028.16","279,785.25","282,552.40","285,339.70","288,205.11","291,227.27","294,453.53","297,918.80","301,582.34","305,324.08","308,977.74","312,426.79","315,615.99","318,585.95","321,432.41","324,299.30","327,287.14","330,425.34","333,668.49","336,952.72","340,182.41","343,287.42","346,251.16","349,093.38","351,824.04","354,464.25","357,031.05","359,524.64","361,942.25","364,295.99","366,600.94","368,869.64"
23,Oceania,909,Region,1840,"12,975.90","13,265.72","13,542.58","13,817.61","14,099.20","14,392.69","14,700.24","15,020.99","15,351.52","15,686.73","16,021.63","16,354.00","16,686.15","17,026.04","17,384.63","17,768.69","18,181.50","18,617.46","19,063.87","19,503.14","19,922.23","20,318.20","20,694.10","21,050.08","21,387.97","21,710.28","22,015.37","22,305.40","22,592.02","22,890.51","23,212.08","23,560.99","23,934.63","24,328.85","24,736.22","25,151.04","25,572.66","26,001.72","26,434.89","26,868.22","27,298.69","27,725.24","28,147.95","28,566.20","28,979.99","29,389.63","29,796.47","30,201.87","30,607.35","31,014.22","31,425.09","31,837.55","32,254.90","32,691.41","33,165.77","33,690.21","34,271.07","34,900.93","35,561.16","36,225.14","36,873.07","37,498.33","38,104.73","38,695.74","39,278.63","39,858.69","40,435.63","41,006.48","41,570.82","42,128.05","42,677.81"
24,Sustainable Development Goal (SDG) regions,1828,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
25,SUB-SAHARAN AFRICA,947,SDG region,1828,"179,006.53","182,372.74","185,911.91","189,614.21","193,473.91","197,489.51","201,663.88","206,004.21","210,521.19","215,228.17","220,137.98","225,259.89","230,596.36","236,142.39","241,888.41","247,830.92","253,971.90","260,325.44","266,914.20","273,767.18","280,908.11","288,346.19","296,085.29","304,135.12","312,504.59","321,200.54","330,231.91","339,600.82","349,297.12","359,304.90","369,613.67","380,212.46","391,106.81","402,321.98","413,893.09","425,840.82","438,183.67","450,901.73","463,931.64","477,185.74","490,604.85","504,170.69","517,912.76","531,879.72","546,142.85","560,759.47","575,759.59","591,147.88","606,928.48","623,097.14","639,661.39","656,627.15","674,033.15","691,957.67","710,499.93","729,733.00","749,688.42","770,356.72","791,717.39","813,730.47","836,363.76","859,610.52","883,472.69","907,933.93","932,975.03","958,577.20","984,733.52","1,011,429.07","1,038,627.21","1,066,283.41","1,094,365.61"
26,Eastern Africa,910,Subregion,947,"66,144.57","67,602.81","69,108.57","70,668.60","72,288.97","73,975.38","75,732.81","77,565.96","79,478.90","81,475.20","83,558.16","85,730.84","87,995.99","90,356.43","92,814.68","95,372.73","98,034.50","100,801.28","103,668.76","106,630.23","109,682.26","112,823.87","116,060.91","119,404.24","122,868.49","126,465.04","130,199.73","134,072.49","138,081.10","142,220.60","146,488.37","150,873.03","155,377.02","160,026.43","164,856.96","169,887.49","175,147.70","180,613.70","186,187.39","191,734.77","197,168.37","202,443.28","207,611.67","212,802.67","218,199.36","223,934.24","230,058.54","236,535.97","243,305.41","250,267.70","257,353.35","264,549.31","271,890.38","279,411.18","287,163.48","295,185.41","303,485.33","312,053.22","320,886.39","329,976.93","339,317.85","348,907.79","358,745.93","368,825.24","379,136.67","389,671.30","400,426.78","411,396.72","422,563.39","433,904.94","445,405.58"
27,Burundi,108,Country/Area,910,"2,308.93","2,360.44","2,406.03","2,449.09","2,492.19","2,537.15","2,584.91","2,635.62","2,688.75","2,743.20","2,797.93","2,852.44","2,907.32","2,964.42","3,026.29","3,094.38","3,170.50","3,253.22","3,336.93","3,413.91","3,479.07","3,530.00","3,569.66","3,605.12","3,646.43","3,700.88","3,770.87","3,854.45","3,949.26","4,051.24","4,157.30","4,266.52","4,379.73","4,497.54","4,621.10","4,750.83","4,886.75","5,027.14","5,168.70","5,307.07","5,438.96","5,564.92","5,685.57","5,798.05","5,898.96","5,987.04","6,060.11","6,122.13","6,185.56","6,267.13","6,378.87","6,525.55","6,704.12","6,909.16","7,131.69","7,364.86","7,607.85","7,862.23","8,126.10","8,397.66","8,675.61","8,958.41","9,245.99","9,540.30","9,844.30","10,160.03","10,488.00","10,827.01","11,175.38","11,530.58","11,890.78"
28,Comoros,174,Country/Area,910,159.46,163.15,166.54,169.75,172.85,175.91,178.95,181.99,185.05,188.09,191.12,194.15,197.20,200.37,203.76,207.43,211.48,215.90,220.57,225.32,230.06,234.65,239.23,244.21,250.11,257.29,265.96,275.90,286.63,297.45,307.83,317.62,326.94,336.09,345.46,355.34,365.77,376.65,387.96,399.64,411.60,423.87,436.45,449.27,462.28,475.39,488.63,501.96,515.38,528.85,542.36,555.90,569.48,583.21,597.23,611.63,626.43,641.62,657.23,673.25,689.70,706.58,723.87,741.51,759.39,777.44,795.60,813.89,832.32,850.89,869.60
29,Djibouti,262,Country/Area,910,62.00,63.31,64.74,66.27,67.88,69.59,71.49,73.70,76.35,79.62,83.63,88.50,94.20,100.62,107.58,114.98,122.88,131.41,140.46,149.89,159.66,169.37,179.24,190.57,205.18,224.18,248.56,277.47,308.01,336.08,358.96,374.93,385.27,393.80,406.02,425.61,454.36,490.34,528.99,563.86,590.39,606.84,615.05,618.50,622.36,630.39,643.65,660.86,680.47,699.97,717.58,733.02,746.95,759.64,771.60,783.25,794.55,805.46,816.36,827.82,840.19,853.67,868.14,883.30,898.71,914.00,929.12,944.10,958.92,973.56,988.00
30,Eritrea,232,Country/Area,910,822.35,835.00,849.26,864.89,881.76,899.75,918.85,939.09,960.54,983.34,"1,007.59","1,033.32","1,060.49","1,088.86","1,118.15","1,148.19","1,178.88","1,210.30","1,242.63","1,276.12","1,310.95","1,347.18","1,384.79","1,423.75","1,463.99","1,505.44","1,547.98","1,591.62","1,636.77","1,683.93","1,733.42","1,784.56","1,836.83","1,890.56","1,946.30","2,003.94","2,064.80","2,127.42","2,185.61","2,231.14","2,258.65","2,266.36","2,257.59","2,238.63","2,218.44","2,204.23","2,196.47","2,195.19","2,206.44","2,237.41","2,292.41","2,374.72","2,481.06","2,600.97","2,719.81","2,826.65","2,918.21","2,996.54","3,062.78","3,119.92","3,170.44","3,213.97","3,250.10","3,281.45","3,311.44","3,342.82","3,376.56","3,412.89","3,452.80","3,497.12","3,546.43"
31,Ethiopia,231,Country/Area,910,"18,128.03","18,466.97","18,819.70","19,184.29","19,560.01","19,947.29","20,347.81","20,764.45","21,201.03","21,661.99","22,151.28","22,671.19","23,221.39","23,798.42","24,397.01","25,013.63","25,641.04","26,280.14","26,944.39","27,652.72","28,415.08","29,248.65","30,140.80","31,036.67","31,861.35","32,566.86","33,128.15","33,577.24","33,993.30","34,487.81","35,141.70","35,984.53","36,995.25","38,142.68","39,374.35","40,652.15","41,965.70","43,329.24","44,757.21","46,272.31","47,887.86","49,609.98","51,423.59","53,295.56","55,180.99","57,047.91","58,883.53","60,697.44","62,507.72","64,343.01","66,224.81","68,159.42","70,142.09","72,170.58","74,239.51","76,346.31","78,489.21","80,674.34","82,916.24","85,233.92","87,639.96","90,139.93","92,726.98","95,385.79","98,094.26","100,835.45","103,603.46","106,399.93","109,224.41","112,078.73","114,963.58"
